coachID,seasons,teams,games,avg_overach_pythag,avg_overach_roster,eb_career_win_pct,consistency_sd,trend,career_po_win_pct,coy_awards
dailesh99w,2,1,20,0.16487546942389011,0.0010205874092467592,0.4820121427791044,0.11251969145773612,-0.15912687369356643,,0
weisery99w,1,1,14,0.140928415386133,0.2405889974263682,0.5839303272931592,0.0,0.0,0.3333333333333333,0
bryanjo01w,2,1,40,0.13963738868754677,0.143424556043954,0.6220088609469141,0.04074648538696602,-0.057624232253284474,0.2,0
coopecy01w,2,1,42,0.10646415538836224,0.005917645958309585,0.4740612593430479,0.20597675685651654,0.2912951230801111,,0
rollitr01w,2,1,52,0.09249176566375963,-0.022660727826893188,0.4770773919775772,0.0059632159343278495,0.008433260849685788,,0
harveca99w,3,2,73,0.075580045930085,0.024547335023555477,0.5329780907483331,0.1154682895614818,-0.10859179305258503,0.2,0
adamsmi01w,1,1,34,0.0672512126986993,0.0265456270224986,0.5004214075010536,0.0,0.0,0.3333333333333333,0
rothsro99w,3,1,96,0.06521128595879506,0.10727208570153075,0.5002204285390126,0.05623873886437142,-0.052875890560380216,0.3333333333333333,0
coopemi01w,8,1,252,0.05021067036818041,0.09840817208962295,0.6434568381471036,0.05889364860485811,-0.01871291289128403,0.6521164021164022,1
thompka99w,3,2,82,0.045124628210016685,-0.003956929034556552,0.5002470319833762,0.07007720551532157,-0.04701810642149979,0.3333333333333333,0
liebena01w,1,1,32,0.043713097773164,-0.0624324711742917,0.4701311471222976,0.0,0.0,,0
coylepa99w,6,1,171,0.040304778905030376,0.020368121849796594,0.4781885644393738,0.09808743570025004,-0.0393500612407371,0.30833333333333335,0
mahorri01w,1,1,31,0.0402307144756624,-0.0011404620018591,0.5235177801549483,0.0,0.0,0.6,0
mcconsu01w,4,1,125,0.039913429756665876,0.00619331504000175,0.47816764597529327,0.04222188011667225,0.017765596708864836,0.16666666666666666,1
laimbbi01w,8,1,229,0.03201767452736543,0.05850408541755713,0.5856602878709948,0.08094132575263784,-0.025064267798207408,0.5177609427609428,1
gaineco01w,2,1,68,0.019373437719216652,-0.12957463473893494,0.5493005461771729,0.07026146798319934,0.09936472093408348,0.6363636363636364,0
wintebr01w,4,1,136,0.013129156439694978,0.10835318504918241,0.5589920924121861,0.039237770985911496,-0.00873051694901107,0.3333333333333333,0
