coachID,year,tmID,confID,name,won,lost,games,win_pct_season,last1_win_pct,last3_win_pct,last5_win_pct,career_wins_to_date,career_losses_to_date,career_games_to_date,career_win_pct_to_date,tenure_with_team,post_wins,post_losses,playoff_games,playoff_win_pct_season
adubari99w,1,NYL,EA,New York Liberty,20,12,32.0,0.625,,,,0.0,0.0,0.0,,1,4,3,7.0,0.5714285714285714
aglerbr99w,1,MIN,WE,Minnesota Lynx,15,17,32.0,0.46875,,,,0.0,0.0,0.0,,1,0,0,0.0,
allenso99w,1,SAC,WE,Sacramento Monarchs,21,11,32.0,0.65625,,,,0.0,0.0,0.0,,1,0,2,2.0,0.0
chancva99w,1,HOU,WE,Houston Comets,27,5,32.0,0.84375,,,,0.0,0.0,0.0,,1,6,0,6.0,1.0
coopemi01w,1,LAS,WE,Los Angeles Sparks,28,4,32.0,0.875,,,,0.0,0.0,0.0,,1,2,2,4.0,0.5
darscna99w,1,WAS,EA,Washington Mystics,9,11,20.0,0.45,,,,0.0,0.0,0.0,,1,0,0,0.0,
donovan99w,1,IND,EA,Indiana Fever,9,23,32.0,0.28125,,,,0.0,0.0,0.0,,1,0,0,0.0,
dunnli99wc,1,SEA,WE,Seattle Storm,6,26,32.0,0.1875,,,,0.0,0.0,0.0,,1,0,0,0.0,
dunntr01wc,1,CHA,EA,Charlotte Sting,8,24,32.0,0.25,,,,0.0,0.0,0.0,,1,0,0,0.0,
hargrli99w,1,POR,WE,Portland Fire,10,22,32.0,0.3125,,,,0.0,0.0,0.0,,1,0,0,0.0,
hugheda99w,1,CLE,EA,Cleveland Rockers,17,15,32.0,0.53125,,,,0.0,0.0,0.0,,1,3,3,6.0,0.5
liebena01w,1,DET,EA,Detroit Shock,14,18,32.0,0.4375,,,,0.0,0.0,0.0,,1,0,0,0.0,
millech99w,1,PHO,WE,Phoenix Mercury,20,12,32.0,0.625,,,,0.0,0.0,0.0,,1,0,2,2.0,0.0
peckca99wc,1,ORL,EA,Orlando Miracle,16,16,32.0,0.5,,,,0.0,0.0,0.0,,1,1,2,3.0,0.3333333333333333
rothsro99w,1,MIA,EA,Miami Sol,13,19,32.0,0.40625,,,,0.0,0.0,0.0,,1,0,0,0.0,
walkeda01w,1,WAS,EA,Washington Mystics,5,7,12.0,0.4166666666666667,,,,0.0,0.0,0.0,,1,0,2,2.0,0.0
willifr99w,1,UTA,WE,Utah Starzz,18,14,32.0,0.5625,,,,0.0,0.0,0.0,,1,0,0,0.0,
adubari99w,2,NYL,EA,New York Liberty,21,11,32.0,0.65625,0.625,0.625,0.625,20.0,12.0,32.0,0.625,2,3,3,6.0,0.5
aglerbr99w,2,MIN,WE,Minnesota Lynx,12,20,32.0,0.375,0.46875,0.46875,0.46875,15.0,17.0,32.0,0.46875,2,0,0,0.0,
allenso99w,2,SAC,WE,Sacramento Monarchs,6,6,12.0,0.5,0.65625,0.65625,0.65625,21.0,11.0,32.0,0.65625,2,0,0,0.0,
chancva99w,2,HOU,WE,Houston Comets,19,13,32.0,0.59375,0.84375,0.84375,0.84375,27.0,5.0,32.0,0.84375,2,0,2,2.0,0.0
coopecy01w,2,PHO,WE,Phoenix Mercury,13,19,32.0,0.40625,,,,0.0,0.0,0.0,,1,0,0,0.0,
coopemi01w,2,LAS,WE,Los Angeles Sparks,28,4,32.0,0.875,0.875,0.875,0.875,28.0,4.0,32.0,0.875,2,6,1,7.0,0.8571428571428571
donovan99w,2,CHA,EA,Charlotte Sting,18,14,32.0,0.5625,0.28125,0.28125,0.28125,9.0,23.0,32.0,0.28125,1,4,4,8.0,0.5
dunnli99wc,2,SEA,WE,Seattle Storm,10,22,32.0,0.3125,0.1875,0.1875,0.1875,6.0,26.0,32.0,0.1875,2,0,0,0.0,
fortnne99w,2,IND,EA,Indiana Fever,10,22,32.0,0.3125,,,,0.0,0.0,0.0,,1,0,0,0.0,
hargrli99w,2,POR,WE,Portland Fire,11,21,32.0,0.34375,0.3125,0.3125,0.3125,10.0,22.0,32.0,0.3125,2,0,0,0.0,
harveca99w,2,UTA,WE,Utah Starzz,14,5,19.0,0.7368421052631579,,,,0.0,0.0,0.0,,1,0,2,2.0,0.0
hugheda99w,2,CLE,EA,Cleveland Rockers,22,10,32.0,0.6875,0.53125,0.53125,0.53125,17.0,15.0,32.0,0.53125,2,1,2,3.0,0.3333333333333333
maherto99w,2,WAS,EA,Washington Mystics,10,22,32.0,0.3125,,,,0.0,0.0,0.0,,1,0,0,0.0,
mchugma99w,2,SAC,WE,Sacramento Monarchs,14,6,20.0,0.7,,,,0.0,0.0,0.0,,1,3,2,5.0,0.6
peckca99wc,2,ORL,EA,Orlando Miracle,13,19,32.0,0.40625,0.5,0.5,0.5,16.0,16.0,32.0,0.5,2,0,0,0.0,
