coachID,team_id,year,stint,gp,won,lost,rs_win_pct_coach,eb_rs_win_pct,is_first_year_with_team,po_win_pct_coach,pythag_win_pct,rs_win_pct_expected_roster,rs_win_pct_prev,team_strength
adamsmi01w,WAS,5,0,34,17,17,0.5,0.5004214075010536,1,0.3333333333333333,0.4327487873013006,0.4734543729775013,0.2647058823529412,19.82990342072441
adubari99w,NYL,1,0,32,20,12,0.625,0.5610402380313885,1,0.5714285714285714,0.6419060712495056,0.4682275306757502,,19.703169581536244
adubari99w,NYL,2,0,32,21,11,0.65625,0.5761917531829036,0,0.5,0.6004190102516113,0.5235604162543908,0.625,21.044811172749174
adubari99w,NYL,3,0,32,18,14,0.5625,0.5307372077283582,0,0.5,0.5961661570081096,0.4787809799261817,0.65625,19.95905622646841
adubari99w,NYL,4,0,34,16,18,0.47058823529411764,0.48571552514811234,0,,0.484401552470064,0.4504695857364578,0.5625,19.27259746775838
adubari99w,NYL,5,1,16,7,9,0.4375,0.4805731142014328,0,,0.4467822600901762,0.4549971832592058,0.4705882352941176,19.382376906897846
adubari99w,WAS,6,0,34,16,18,0.47058823529411764,0.48571552514811234,1,,0.4505114246909953,0.4352258997745686,0.5,18.902987915030597
adubari99w,WAS,7,0,34,18,16,0.5294117647058824,0.5151272898539947,0,0.0,0.588983980683116,0.6237664865993132,0.4705882352941176,23.474480803401036
adubari99w,WAS,8,1,4,0,4,0.0,0.44812251868609576,0,,0.4444094857213638,0.5112517909160879,0.5294117647058824,20.746367245384235
aglerbr99w,MIN,1,0,32,15,17,0.46875,0.4852826622738127,1,,0.5061626670719457,0.4046458839423071,,18.161522497648686
aglerbr99w,MIN,2,0,32,12,20,0.375,0.43982811681926726,0,,0.4005521123531205,0.4442250910533709,0.46875,19.12118888504439
aglerbr99w,MIN,3,1,19,6,13,0.3157894736842105,0.43450293792587996,0,,0.3702142541044568,0.3626935631868038,0.375,17.144315862120973
aglerbr99w,SEA,9,0,34,22,12,0.6470588235294118,0.5739508192657594,1,0.3333333333333333,0.5947480310652639,0.5234090983757467,0.5,21.041142208852573
aglerbr99w,SEA,10,0,34,20,14,0.5882352941176471,0.5445390545598771,0,0.3333333333333333,0.5726343814890603,0.5434483958772759,0.6470588235294118,21.527029664487443
allenso99w,SAC,1,0,32,21,11,0.65625,0.5761917531829036,1,0.0,0.6896735088993575,0.619703736179164,,23.375972386907133
allenso99w,SAC,2,1,12,6,6,0.5,0.5006229502189486,0,,0.6803874114206423,0.5844198632133856,0.65625,22.52045381102004
bibbyhe01w,LAS,6,1,28,13,15,0.4642857142857143,0.4843331566140587,1,,0.478048680563828,0.4831918241433407,0.7352941176470589,20.066004779615728
boguemu01w,CHA,6,2,10,3,7,0.3,0.45519672068344635,1,,0.2366110435105643,0.3905191458612955,0.4705882352941176,17.818995279712073
boguemu01w,CHA,7,0,34,11,23,0.3235294117647059,0.41218611338340644,0,,0.3789004394061709,0.5235332005359254,0.1764705882352941,21.044151280545005
bouceje01w,SAC,8,0,34,19,15,0.5588235294117647,0.5298331722069358,1,0.3333333333333333,0.5505175675389538,0.5296882518027112,0.6176470588235294,21.19339115280562
bouceje01w,SAC,9,0,34,18,16,0.5294117647058824,0.5151272898539947,0,0.3333333333333333,0.4725839742314826,0.567680910082575,0.5588235294117647,22.11458891749769
bouceje01w,SAC,10,1,13,3,10,0.23076923076923078,0.42614161085258806,0,,0.4191989846977407,0.5729527171495934,0.5294117647058824,22.242413005253063
brownde01w,ORL,3,0,32,16,16,0.5,0.5004341774253279,1,,0.4988023974801718,0.5309385133874382,0.40625,21.22370590911056
brownde01w,SAS,5,2,26,6,20,0.23076923076923078,0.38381092850119397,1,,0.3056006547922498,0.4431506029989506,0.3529411764705882,19.095136062242968
bryanjo01w,LAS,6,2,6,4,2,0.6666666666666666,0.5257163927517909,1,0.0,0.478048680563828,0.4831918241433407,0.7352941176470589,20.066004779615728
bryanjo01w,LAS,7,0,34,25,9,0.7352941176470589,0.6180684663245829,0,0.4,0.6043003637975047,0.5989372592171116,0.5,22.872453206515612
chancva99w,HOU,1,0,32,27,5,0.84375,0.6671008440919945,1,1.0,0.8755296054181314,0.5920948635864158,,22.706547480369668
chancva99w,HOU,2,0,32,19,13,0.59375,0.5458887228798733,0,0.0,0.5703581297379635,0.4415277396969173,0.84375,19.0557869323342
chancva99w,HOU,3,0,32,24,8,0.75,0.6216462986374491,0,0.3333333333333333,0.7274062277048154,0.4599791835559439,0.59375,19.50317412785679
chancva99w,HOU,4,0,34,20,14,0.5882352941176471,0.5445390545598771,0,0.3333333333333333,0.623026971621545,0.4619904778804625,0.75,19.551941440273737
chancva99w,HOU,5,0,34,13,21,0.38235294117647056,0.4415978780892888,0,,0.4582551790834794,0.4267796380055318,0.5882352941176471,18.698193678093386
chancva99w,HOU,6,0,34,19,15,0.5588235294117647,0.5298331722069358,0,0.4,0.5541196926233856,0.4417815696520262,0.3823529411764705,19.06194147897149
chancva99w,HOU,7,0,34,18,16,0.5294117647058824,0.5151272898539947,0,0.0,0.5628645827934592,0.4860721525152504,0.5588235294117647,20.135843326796003
coopecy01w,PHO,2,0,32,13,19,0.40625,0.4549796319707824,1,,0.3691418262973784,0.4537743885427788,0.625,19.35272813235956
coopecy01w,PHO,3,1,10,6,4,0.6,0.5233785388652645,0,,0.2715967032172673,0.4230678436382078,0.40625,18.608194798599666
coopemi01w,LAS,1,0,32,28,4,0.875,0.6822523592435097,1,0.5,0.7630035270034101,0.6044370972138211,,23.00580629887932
coopemi01w,LAS,2,0,32,28,4,0.875,0.6822523592435097,0,0.8571428571428571,0.7842955838217165,0.6250454738459895,0.875,23.505492063103603
coopemi01w,LAS,3,0,32,25,7,0.78125,0.6367978137889643,0,1.0,0.7312076103326258,0.6015199440398237,0.875,22.935074870629272
coopemi01w,LAS,4,0,34,24,10,0.7058823529411765,0.6033625839716418,0,0.5555555555555556,0.5728547873961247,0.5542570269724086,0.78125,21.78910363496017
coopemi01w,LAS,5,1,20,14,6,0.7,0.574604735371697,0,,0.6447858703281527,0.5451252882879175,0.7058823529411765,21.567688823657964
coopemi01w,LAS,8,0,34,10,24,0.29411764705882354,0.39748023103046526,1,,0.3270617397816602,0.4805233122158617,0.7352941176470589,20.001302088781625
coopemi01w,LAS,9,0,34,20,14,0.5882352941176471,0.5445390545598771,0,0.5,0.5784386286238057,0.5680155726221987,0.2941176470588235,22.122703390066484
coopemi01w,LAS,10,0,34,18,16,0.5294117647058824,0.5151272898539947,0,0.5,0.53749715548098,0.5356321583209535,0.5882352941176471,21.337511455149546
cowenda01w,CHI,7,0,34,5,29,0.14705882352941177,0.3239508192657594,1,,0.1712546045698413,0.4725236660323189,,19.807336819799307
coylepa99w,NYL,5,2,18,11,7,0.6111111111111112,0.53901260980907,1,0.4,0.4467822600901762,0.4549971832592058,0.4705882352941176,19.382376906897846
coylepa99w,NYL,6,0,34,18,16,0.5294117647058824,0.5151272898539947,0,0.0,0.5363198615385064,0.4361249647704044,0.5294117647058824,18.924787302122063
coylepa99w,NYL,7,0,34,11,23,0.3235294117647059,0.41218611338340644,0,,0.2276993664623015,0.4253072061538213,0.5294117647058824,18.662492019092177
coylepa99w,NYL,8,0,34,16,18,0.47058823529411764,0.48571552514811234,0,0.3333333333333333,0.4044747337905319,0.4203344802101871,0.3235294117647059,18.541919670878
coylepa99w,NYL,9,0,34,19,15,0.5588235294117647,0.5298331722069358,0,0.5,0.536912364102625,0.5089712508709348,0.4705882352941176,20.69107160441038
coylepa99w,NYL,10,1,17,6,11,0.35294117647058826,0.4515422688249341,0,,0.4754110026601077,0.4965890115786624,0.5588235294117647,20.390842779306844
dailesh99w,SAS,4,2,12,6,6,0.5,0.5006229502189486,1,,0.2714737810986833,0.452865285651955,,19.330685359128665
dailesh99w,SAS,5,1,8,3,5,0.375,0.4768727550017057,0,,0.3056006547922498,0.4431506029989506,0.3529411764705882,19.095136062242968
darscna99w,WAS,1,1,20,9,11,0.45,0.4820121427791044,1,,0.4449571007683212,0.4782965394121821,,19.947310127647544
donovan99w,IND,1,0,32,9,23,0.28125,0.3943735713647218,1,,0.408688482833311,0.4494675838408778,,19.248302197350448
donovan99w,CHA,2,0,32,18,14,0.5625,0.5307372077283582,1,0.5,0.5608219665251631,0.4050180236105035,0.25,18.170545668072048
donovan99w,CHA,3,0,32,18,14,0.5625,0.5307372077283582,0,0.0,0.6302854889048839,0.4866431865801419,0.5625,20.149689036150328
donovan99w,SEA,4,0,34,18,16,0.5294117647058824,0.5151272898539947,1,,0.6290843432309614,0.543304590248305,0.53125,21.52354284808775
donovan99w,SEA,5,0,34,20,14,0.5882352941176471,0.5445390545598771,0,0.75,0.688958315979836,0.5441685537804618,0.5294117647058824,21.54449113943224
donovan99w,SEA,6,0,34,20,14,0.5882352941176471,0.5445390545598771,0,0.3333333333333333,0.5988750325679011,0.5308728135552248,0.5882352941176471,21.222112902953164
donovan99w,SEA,7,0,34,18,16,0.5294117647058824,0.5151272898539947,0,0.3333333333333333,0.5709158051235644,0.5586202472523589,0.5882352941176471,21.894897463313573
donovan99w,SEA,8,0,34,17,17,0.5,0.5004214075010536,0,0.0,0.5864379259614231,0.610156087263765,0.5294117647058824,23.144473112122466
donovan99w,NYL,10,2,17,7,10,0.4117647058823529,0.47115011196218903,1,,0.4754110026601077,0.4965890115786624,0.5588235294117647,20.390842779306844
dunnli99wc,SEA,1,0,32,6,26,0.1875,0.3489190259101764,1,,0.1309331235975417,0.2562488376282664,,14.563379236800506
dunnli99wc,SEA,2,0,32,10,22,0.3125,0.409525086516237,0,,0.333723377954101,0.3695651526597943,0.1875,17.31092944350744
dunnli99wc,SEA,3,0,32,17,15,0.53125,0.5155856925768431,0,0.0,0.6053788497607431,0.5051403799896922,0.3125,20.598185508717123
dunnli99wc,IND,9,0,34,17,17,0.5,0.5004214075010536,1,0.3333333333333333,0.5175182430120581,0.5154551023354949,0.6176470588235294,20.848283806614027
