bioID,year,tmID,position,minutes,assists,blocks,points,rebounds,steals,turnovers,performance
abrossv01w,2,MIN,F,846,53,9,343,174,42,85,21.642553191489363
abrossv01w,3,MIN,F,805,60,10,314,146,42,92,19.936397515527954
abrossv01w,4,MIN,F,792,82,11,318,141,44,90,21.031818181818185
abrossv01w,5,MIN,F,462,45,2,146,74,30,43,17.809635112282933
abrossv01w,6,MIN,F,777,60,6,304,107,48,80,18.871042471042472
abrossv01w,7,MIN,F,724,54,1,263,106,34,61,18.258563535911602
abrossv01w,8,MIN,F,843,85,4,345,150,44,68,22.18078291814947
abrossv01w,9,CON,F,107,12,0,34,20,8,11,22.933280640590098
adamsjo01w,4,MIN,C,96,4,3,33,23,2,10,21.99433374844334
aguilel01w,3,UTA,G,141,16,2,43,11,3,11,17.226954019416322
ajavoma01w,9,HOU,G,604,59,6,273,60,31,55,21.111258278145694
ajavoma01w,10,WAS,G,587,37,4,272,64,37,50,20.22623509369676
aldrima01w,1,WAS,G,272,28,4,63,24,9,27,16.765655310649944
aldrima01w,2,WAS,G,35,2,0,7,2,0,4,12.047974962143181
alhalta01w,2,ORL,F-G,252,14,0,49,38,11,28,10.5
allench01w,9,SAC,G,49,3,0,16,6,1,6,17.899678167108313
amachma01w,2,NYL,F,3,0,1,1,1,0,1,21.976503773404467
amachma01w,4,SEA,F,47,0,2,8,14,5,9,14.699288875012563
amachma01w,6,WAS,F,3,0,0,2,0,0,0,17.730566576949755
ambermo01w,3,SAC,F,4,0,0,0,0,0,0,9.15
anderam01w,7,CON,F,1,0,0,0,2,0,0,22.927728847728847
anderam01w,7,NYL,F,9,0,0,0,2,1,1,15.450401117932046
anderch01w,4,SAC,C,171,5,5,42,24,5,17,12.568421052631578
anderch01w,5,SAC,C,231,5,6,77,34,3,25,14.55584415584416
anderch01w,6,SAS,C,669,11,15,203,90,8,55,13.974887892376685
anderch01w,7,SAS,C,414,15,10,153,85,7,29,20.56521739130435
anderch01w,8,SAS,C,86,3,5,28,20,1,5,20.70953097265261
anderjo01w,9,CON,G,367,26,1,97,58,7,16,18.784249517104293
anderke01w,1,WAS,G,434,75,3,75,46,25,47,16.765655310649944
anderke01w,2,CHA,G,102,14,0,12,15,6,17,11.275650292504933
anderke01w,3,CHA,G,31,5,0,7,6,0,3,18.534562861984256
andrame01w,1,CLE,F,797,75,10,265,95,41,65,17.223086574654957
andrame01w,2,CLE,F,893,100,10,152,87,51,61,11.582082866741322
andrame01w,3,CLE,F,665,67,6,91,56,29,41,9.419548872180453
andrame01w,5,CHA,F,65,7,1,9,4,0,3,13.885422601936218
anosini01w,9,MIN,C,920,45,43,314,231,75,42,26.295652173913044
anosini01w,10,MIN,C,896,81,28,396,222,81,61,28.088839285714286
arcaija01w,1,HOU,G,977,60,3,268,119,42,53,14.374206755373592
arcaija01w,2,HOU,G,1154,94,3,591,136,60,83,23.543500866551128
arcaija01w,3,HOU,G,1116,86,6,364,126,51,71,16.729032258064514
arcaija01w,4,HOU,G,1136,67,1,390,136,41,50,16.938380281690137
arcaija01w,6,HOU,G,1079,53,6,342,93,55,56,15.107321594068582
askamma01w,1,MIA,C,869,29,21,251,231,17,49,21.49643268124281
askamma01w,2,MIA,C,431,15,11,74,87,12,19,6.837627661026398
askamma01w,3,LAS,C,215,4,4,61,49,11,11,18.331118911803426
askamma01w,3,MIA,C,72,3,1,11,11,1,1,16.151342252819816
atkinla01w,7,IND,G-F,417,22,5,99,76,18,34,14.684892086330937
atkinla01w,8,SAC,G-F,226,15,5,58,44,10,33,13.237168141592917
atkinla01w,9,SAC,G-F,73,8,2,14,14,5,10,14.597260273972605
atkinla01w,10,SEA,G-F,46,5,1,5,18,10,4,21.779549114331722
atunrmo01w,9,SAS,G-F,348,23,13,71,48,16,26,16.663940003092623
augusse01w,7,MIN,F,1124,50,18,744,128,21,71,27.800711743772244
augusse01w,8,MIN,F,1093,79,21,769,136,41,83,30.44684354986276
augusse01w,9,MIN,F,1042,83,12,591,120,32,52,25.92552783109405
augusse01w,10,MIN,F,178,9,3,126,25,12,13,23.14913806010585
aycocan01w,1,MIN,G-F,6,4,0,0,3,0,0,35.97761944677284
aycocan01w,1,SEA,G-F,7,0,0,0,2,0,0,10.305
azizle01w,4,IND,F,44,1,4,10,9,0,3,22.090610900156356
azzije01w,1,UTA,G,559,92,5,144,41,12,28,19.13345259391771
azzije01w,2,UTA,G,1205,171,10,276,98,22,69,16.192531120331946
azzije01w,3,UTA,G,1151,158,14,306,69,27,67,17.121112076455255
azzije01w,4,SAS,G,1136,111,9,260,91,27,61,13.744014084507043
badertr01w,1,CLE,G,201,21,1,47,11,17,18,14.45346971411331
badertr01w,2,CLE,G,114,11,0,21,12,5,8,15.218169040356589
badertr01w,3,CLE,G,132,15,1,14,7,6,7,14.315489738466017
bakersh01w,7,NYL,G,614,35,2,251,56,46,50,18.304885993485343
bakersh01w,8,LAS,G,492,77,2,203,69,36,65,17.716286732600253
bakersh01w,8,NYL,G,13,0,0,5,1,0,0,13.815638253891466
bakersh01w,9,IND,G,110,15,1,49,22,9,11,15.703079057083396
bakersh01w,10,DET,G,11,1,0,7,1,1,1,18.451933914883828
balesal01w,8,IND,C,169,2,13,55,45,4,7,26.089794963533784
balesal01w,9,ATL,C,389,11,29,82,102,15,10,24.015424164524422
balesal01w,9,IND,C,126,2,14,37,22,5,3,22.790928454175017
banchrh01w,1,SAC,C,21,1,0,6,3,0,2,11.82857142857143
baranel01w,2,MIA,F,984,63,57,378,191,33,62,23.64512195121951
baranel01w,4,NYL,F,850,64,43,278,181,36,62,22.087058823529418
baranel01w,5,NYL,F,1048,67,58,394,246,37,80,24.320610687022903
baranel01w,6,NYL,F,953,59,46,288,227,25,59,21.81532004197272
barksla01w,2,POR,G,35,4,0,2,6,2,1,16.06276756145789
barksla01w,3,POR,G,285,12,7,100,40,8,23,16.7948821725995
barksla01w,4,SAS,G,168,5,3,59,33,1,10,14.22804958497775
barnead01w,1,CLE,F,18,4,0,8,2,0,2,18.68864066228671
barnead01w,2,CLE,F,3,0,0,2,1,0,0,20.79280844559673
barnead01w,3,SEA,F,493,28,9,90,102,32,25,16.94462273269821
barnead01w,4,SEA,F,396,23,7,88,65,11,18,14.699288875012563
barnead01w,5,SEA,F,402,31,2,67,63,23,24,15.836623078414123
barnequ01w,1,SEA,C,705,33,33,209,84,19,62,15.13531914893617
barnequ01w,2,SEA,C,229,11,6,68,34,9,16,17.305994480182395
barnequ01w,3,PHO,C,13,0,2,3,1,1,0,14.216538461538462
batkosu01w,6,SEA,C,461,26,24,199,94,17,32,21.545728492530113
batkosu01w,10,SEA,C,147,4,6,47,29,5,24,16.7205754321829
batteja01w,6,MIN,F,46,3,1,0,5,0,3,17.65022412051547
batteja01w,7,DET,F,178,7,3,36,25,2,4,22.23394931237139
battlas01w,6,SEA,F,8,0,0,2,2,0,1,15.045201910551455
battlas01w,7,NYL,F,455,29,3,143,62,31,38,15.450401117932046
battlas01w,8,NYL,F,757,56,2,252,126,35,48,18.87978863936592
battlas01w,9,NYL,F,336,24,1,121,53,15,28,21.83776358891901
battlas01w,10,NYL,F,548,40,2,177,85,31,52,17.034306569343066
bauerca01w,1,CHA,F-C,398,14,3,76,56,8,28,16.493073727771986
bauerca01w,2,WAS,F-C,102,3,1,15,18,2,6,14.924598930481283
bauerca01w,3,SAC,F-C,233,1,5,43,41,2,25,17.97703479099964
beardal01w,5,WAS,G-F,1025,91,34,446,143,69,80,25.11570731707317
beardal01w,6,WAS,G-F,1015,90,9,422,130,45,63,23.235073891625618
beardal01w,7,WAS,G-F,994,98,25,614,149,59,90,31.85311871227365
beardal01w,8,WAS,G-F,1169,99,24,622,139,64,94,27.195551753635584
beardal01w,9,WAS,G-F,1092,117,19,532,118,55,106,25.08791208791209
beardal01w,10,WAS,G-F,985,68,18,492,123,72,100,25.002639593908633
beckki01w,9,SEA,G,93,6,2,17,12,4,4,17.392450857989022
bennije01w,6,IND,F,52,4,1,9,6,1,4,17.87811017133517
berezva01w,9,SAS,C,6,0,0,0,0,0,0,11.58697748064743
berthlu01w,3,CLE,F-C,16,0,0,8,4,0,0,28.799999999999997
berthlu01w,4,CLE,F-C,201,6,4,84,42,10,22,22.4955223880597
berthlu01w,5,HOU,F-C,134,4,2,37,27,6,9,18.61791044776119
beviltu01w,1,POR,G,796,89,6,153,95,41,66,13.414070351758793
beviltu01w,2,POR,G,788,103,6,153,88,59,52,16.58375634517766
beviltu01w,3,POR,G,421,44,3,84,33,22,27,16.7948821725995
beviltu01w,4,SEA,G,252,32,1,58,26,14,20,16.779740054195553
beviltu01w,5,SEA,G,358,29,2,79,26,38,26,18.934938378436424
beviltu01w,6,IND,G,873,80,0,194,63,60,51,14.581443298969072
beviltu01w,7,IND,G,999,79,1,223,77,71,54,14.237837837837837
beviltu01w,8,IND,G,901,92,2,180,75,56,53,14.328079911209768
beviltu01w,9,IND,G,876,65,4,175,68,59,35,13.775342465753424
beviltu01w,10,IND,G,861,97,8,209,79,62,48,17.3602787456446
bibbyje01w,1,NYL,G,69,11,0,19,5,3,12,16.602186312218667
bibrzag01w,5,SAS,G-F,465,40,7,159,28,21,32,18.278709677419357
