bioID,pos,firstseason,lastseason,height,weight,college,collegeOther,birthDate,deathDate
abrahta01w,C,NaN,NaN,74.0,190.0,George Washington,Unknown,1975-09-27,NaN
abrossv01w,F,NaN,NaN,74.0,169.0,Connecticut,Unknown,1980-07-09,NaN
adairje01w,C,NaN,NaN,76.0,197.0,George Washington,Unknown,1986-12-19,NaN
adamsda01w,F-C,NaN,NaN,73.0,239.0,Texas A&M,Jefferson College (JC),1989-02-19,NaN
adamsjo01w,C,NaN,NaN,75.0,180.0,New Mexico,Unknown,1981-05-24,NaN
adamsmi01w,Unknown,NaN,NaN,NaN,NaN,Unknown,Unknown,NaN,NaN
adubari99w,Unknown,NaN,NaN,NaN,NaN,Unknown,Unknown,NaN,NaN
aglerbr99w,Unknown,NaN,NaN,NaN,NaN,Unknown,Unknown,NaN,NaN
aguilel01w,G,NaN,NaN,67.0,165.0,George Washington,Unknown,1976-10-15,NaN
ajavoma01w,G,NaN,NaN,68.0,160.0,Rutgers,Unknown,1986-05-07,NaN
alberma01w,G,NaN,NaN,64.0,NaN,Ohio State,Unknown,1975-04-12,NaN
aldrima01w,G,NaN,NaN,71.0,153.0,UNC Charlotte,Unknown,1973-09-15,NaN
alexaer01w,G,NaN,NaN,67.0,140.0,California-Santa Barbara,Unknown,1975-04-25,NaN
alhalta01w,F-G,NaN,NaN,72.0,149.0,DePaul,Unknown,1974-10-17,NaN
allench01w,G,NaN,NaN,71.0,135.0,Notre Dame,Unknown,1986-07-23,NaN
allenso99w,Unknown,NaN,NaN,NaN,NaN,Unknown,Unknown,NaN,NaN
amachma01w,F,NaN,NaN,73.0,175.0,Unknown,Unknown,1978-01-30,NaN
ambermo01w,F,NaN,NaN,76.0,169.0,Arizona State,Unknown,1970-12-21,NaN
anderam01w,F,NaN,NaN,72.0,167.0,Brigham Young,Unknown,1984-03-14,NaN
anderch01w,C,NaN,NaN,78.0,190.0,Vanderbilt,Unknown,1981-01-22,NaN
anderjo01w,G,NaN,NaN,68.0,166.0,Wisconsin,Unknown,1986-07-22,NaN
