team_id,year,GP,won,lost,rs_win_pct,pythag_win_pct,team_strength,rs_win_pct_expected_roster,overach_pythag,overach_roster,po_W,po_L,po_win_pct,rs_win_pct_prev,win_pct_change
ATL,9,34,4,30,0.11764705882352941,0.2012412631905801,20.585151459274265,0.5046028209492066,-0.0835942043670507,-0.38695576212567717,0.0,0.0,,,
ATL,10,34,18,16,0.5294117647058824,0.5607821657934591,23.891493896004803,0.6409652212606161,-0.031370401087576716,-0.1115534565547337,0.0,2.0,0.0,0.11764705882352941,0.4117647058823529
CHA,1,32,8,24,0.25,0.24261652056557784,19.61163154444439,0.4644522573347397,0.007383479434422163,-0.21445225733473972,0.0,0.0,,,
CHA,2,32,18,14,0.5625,0.5608219665251631,18.170545668072048,0.40501802361050354,0.0016780334748368597,0.15748197638949646,4.0,4.0,0.5,0.25,0.3125
CHA,3,32,18,14,0.5625,0.6302854889048839,20.149689036150328,0.48664318658014194,-0.0677854889048839,0.07585681341985806,0.0,2.0,0.0,0.5625,0.0
CHA,4,34,18,16,0.5294117647058824,0.5269007861623007,19.264669206572744,0.45014260305203924,0.002510978543581621,0.07926916165384312,0.0,2.0,0.0,0.5625,-0.03308823529411764
CHA,5,34,16,18,0.47058823529411764,0.40482683148174253,16.92821064104311,0.35378080619628915,0.06576140381237511,0.11680742909782849,0.0,0.0,,0.5294117647058824,-0.05882352941176472
CHA,6,34,6,28,0.17647058823529413,0.2366110435105643,17.818995279712073,0.39051914586129555,-0.06014045527527018,-0.21404855762600142,0.0,0.0,,0.47058823529411764,-0.2941176470588235
CHA,7,34,11,23,0.3235294117647059,0.37890043940617096,21.044151280545005,0.5235332005359254,-0.055371027641465065,-0.20000378877121955,0.0,0.0,,0.17647058823529413,0.14705882352941177
CHI,7,34,5,29,0.14705882352941177,0.1712546045698413,19.807336819799307,0.4725236660323189,-0.02419578104042952,-0.3254648425029071,0.0,0.0,,,
CHI,8,34,14,20,0.4117647058823529,0.41054422183241096,22.047127283982423,0.5648986119839645,0.0012204840499419611,-0.1531339061016116,0.0,0.0,,0.14705882352941177,0.2647058823529411
CHI,9,34,12,22,0.35294117647058826,0.45890384309037013,21.17649195282756,0.5289912836221771,-0.10596266661978188,-0.1760501071515888,0.0,0.0,,0.4117647058823529,-0.05882352941176466
CHI,10,34,16,18,0.47058823529411764,0.37935203057475625,21.555703865352427,0.5446309965702723,0.09123620471936139,-0.07404276127615461,0.0,0.0,,0.35294117647058826,0.11764705882352938
CLE,1,32,17,15,0.53125,0.578342605747944,18.440759610575906,0.4161623689112496,-0.04709260574794405,0.11508763108875042,3.0,3.0,0.5,,
CLE,2,32,22,10,0.6875,0.7741182609187295,18.44928343044037,0.41651391402757754,-0.08661826091872948,0.27098608597242246,1.0,2.0,0.3333333333333333,0.53125,0.15625
CLE,3,32,10,22,0.3125,0.41242201034217746,18.05177504566507,0.40011960565537164,-0.09992201034217746,-0.08761960565537164,0.0,0.0,,0.6875,-0.375
CLE,4,34,17,17,0.5,0.5230970050971749,18.66493408002254,0.4254079232744896,-0.02309700509717494,0.07459207672551038,1.0,2.0,0.3333333333333333,0.3125,0.1875
CON,4,34,18,16,0.5294117647058824,0.47186342532145525,21.002015957731263,0.5217954271906879,0.057548339384427105,0.007616337515194416,2.0,2.0,0.5,,
CON,5,34,18,16,0.5294117647058824,0.5360233762707455,21.053795277694743,0.5239309447578564,-0.006611611564863118,0.005480819948025961,5.0,3.0,0.625,0.5294117647058824,0.0
