year,tmID,name,season_win_pct,won,lost,GP,o_pts,d_pts,point_diff,home_win_pct,away_win_pct,prev_season_win_pct_1,prev_season_win_pct_3,prev_season_win_pct_5,prev_point_diff_3,prev_point_diff_5,prev_wins_1,win_pct_change_from_prev
9,ATL,Atlanta Dream,0.12,4.0,30.0,34.0,2534.0,2879.0,-345.0,0.06,0.18,,,,,,,
10,ATL,Atlanta Dream,0.53,18.0,16.0,34.0,2861.0,2797.0,64.0,0.71,0.35,0.12,,,,,4.0,0.41
1,CHA,Charlotte Sting,0.25,8.0,24.0,32.0,2186.0,2429.0,-243.0,0.31,0.19,,,,,,,
2,CHA,Charlotte Sting,0.56,18.0,14.0,32.0,2055.0,2009.0,46.0,0.69,0.44,0.25,,,,,8.0,0.31
3,CHA,Charlotte Sting,0.56,18.0,14.0,32.0,2241.0,2133.0,108.0,0.69,0.44,0.56,,,,,18.0,0.0
4,CHA,Charlotte Sting,0.53,18.0,16.0,34.0,2217.0,2195.0,22.0,0.76,0.29,0.56,,,,,18.0,-0.03
5,CHA,Charlotte Sting,0.47,16.0,18.0,34.0,2092.0,2168.0,-76.0,0.59,0.35,0.53,,,,,18.0,-0.06
6,CHA,Charlotte Sting,0.18,6.0,28.0,34.0,2095.0,2335.0,-240.0,0.29,0.06,0.47,,,,,16.0,-0.29
7,CHA,Charlotte Sting,0.32,11.0,23.0,34.0,2456.0,2571.0,-115.0,0.41,0.24,0.18,,,,,6.0,0.15
7,CHI,Chicago Sky,0.15,5.0,29.0,34.0,2322.0,2687.0,-365.0,0.18,0.12,,,,,,,
8,CHI,Chicago Sky,0.41,14.0,20.0,34.0,2525.0,2611.0,-86.0,0.35,0.47,0.15,,,,,5.0,0.26
9,CHI,Chicago Sky,0.35,12.0,22.0,34.0,2472.0,2510.0,-38.0,0.47,0.24,0.41,,,,,14.0,-0.06
10,CHI,Chicago Sky,0.47,16.0,18.0,34.0,2573.0,2693.0,-120.0,0.71,0.24,0.35,,,,,12.0,0.12
1,CLE,Cleveland Rockers,0.53,17.0,15.0,32.0,2185.0,2122.0,63.0,0.81,0.25,,,,,,,
2,CLE,Cleveland Rockers,0.69,22.0,10.0,32.0,2004.0,1788.0,216.0,0.88,0.5,0.53,,,,,17.0,0.16
3,CLE,Cleveland Rockers,0.31,10.0,22.0,32.0,2071.0,2140.0,-69.0,0.25,0.38,0.69,,,,,22.0,-0.38
4,CLE,Cleveland Rockers,0.5,17.0,17.0,34.0,2229.0,2210.0,19.0,0.65,0.35,0.31,,,,,10.0,0.19
4,CON,Connecticut Sun,0.53,18.0,16.0,34.0,2384.0,2409.0,-25.0,0.59,0.47,,,,,,,
5,CON,Connecticut Sun,0.53,18.0,16.0,34.0,2335.0,2304.0,31.0,0.59,0.47,0.53,,,,,18.0,0.0
6,CON,Connecticut Sun,0.76,26.0,8.0,34.0,2474.0,2244.0,230.0,0.82,0.71,0.53,,,,,18.0,0.24
7,CON,Connecticut Sun,0.76,26.0,8.0,34.0,2683.0,2417.0,266.0,0.82,0.71,0.76,,,,,26.0,0.0
8,CON,Connecticut Sun,0.53,18.0,16.0,34.0,2675.0,2593.0,82.0,0.47,0.59,0.76,,,,,26.0,-0.24
9,CON,Connecticut Sun,0.62,21.0,13.0,34.0,2690.0,2541.0,149.0,0.76,0.47,0.53,,,,,18.0,0.09
10,CON,Connecticut Sun,0.47,16.0,18.0,34.0,2651.0,2654.0,-3.0,0.71,0.24,0.62,,,,,21.0,-0.15
1,DET,Detroit Shock,0.44,14.0,18.0,32.0,2331.0,2426.0,-95.0,0.5,0.38,,,,,,,
