year,tmID,franchID,confID,rank,playoff,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won,lost,GP,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena,is_last_season,season_id,season_win_pct,point_diff,off_eff,def_eff,fg_pct,three_pct,ft_pct,opp_fg_pct,prop_3pt_shots,home_win_pct,away_win_pct,home_advantage,reb_diff,stl_diff,blk_diff,to_diff,attend_pg,franchise_changed,prev_win_pct_1,prev_win_pct_3,prev_win_pct_5,prev_point_diff_3,prev_point_diff_5,win_pct_change,off_eff_norm,def_eff_norm,fg_pct_norm,three_pct_norm,ft_pct_norm,opp_fg_pct_norm,point_diff_norm
9,ATL,ATL,EA,7,N,,,,Atlanta Dream,895,2258,542,725,202,598,340,737,1077,492,796,285,593,142,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,4,30,34,1,16,3,14,2,18,6825,141379,Philips Arena,False,9_ATL,0.1176,-345,74.5294,84.6765,0.3964,0.3378,0.7476,0.4499,0.2648,0.0588,0.1765,-0.1176,-188,-25,8,32,4158.2059,False,,,,,,,0.9772,1.1103,0.9439,1.0014,0.9951,1.0707,
10,ATL,ATL,EA,2,Y,L,,,Atlanta Dream,1089,2428,569,755,114,374,404,855,1259,547,741,329,590,121,2861,996,2363,624,807,181,530,353,821,1174,615,700,347,601,133,2797,18,16,34,12,5,6,11,10,12,6950,120737,Philips Arena,True,10_ATL,0.5294,64,84.1471,82.2647,0.4485,0.3048,0.7536,0.4215,0.154,0.7059,0.3529,0.3529,85,-18,-12,-11,3551.0882,False,0.1176,,,,,0.4118,1.074,1.05,1.0489,0.8896,0.9713,0.9852,
1,CHA,CHA,EA,8,N,,,,Charlotte Sting,812,1903,431,577,131,386,305,630,935,551,713,222,496,90,2186,879,1930,533,716,138,423,326,664,990,596,596,259,426,123,2429,8,24,32,5,11,3,13,5,16,6475,90963,Charlotte Coliseum,False,1_CHA,0.25,-243,68.3125,75.9062,0.4267,0.3394,0.747,0.4554,0.2028,0.3125,0.1875,0.125,-55,-37,-33,70,2842.5938,False,,,,,,,0.9897,1.0997,0.9886,1.0341,1.0102,1.0539,
2,CHA,CHA,EA,4,Y,W,W,L,Charlotte Sting,746,1780,410,528,153,428,309,639,948,467,605,217,474,114,2055,732,1846,431,562,114,369,344,567,911,443,579,257,447,124,2009,18,14,32,11,5,7,9,15,6,6500,105525,Charlotte Coliseum,False,2_CHA,0.5625,46,64.2188,62.7812,0.4191,0.3575,0.7765,0.3965,0.2404,0.6875,0.4375,0.25,37,-40,-10,27,3297.6562,False,0.25,,,,,0.3125,0.9774,0.9555,1.0198,1.0683,1.05,0.9642,
3,CHA,CHA,EA,2,Y,L,,,Charlotte Sting,770,1790,490,663,211,527,302,653,955,496,647,241,408,105,2241,778,1807,444,598,133,372,295,620,915,489,600,208,424,103,2133,18,14,32,11,5,7,9,12,9,6450,106670,Charlotte Coliseum,False,3_CHA,0.5625,108,70.0312,66.6562,0.4302,0.4004,0.7391,0.4305,0.2944,0.6875,0.4375,0.25,40,33,2,-16,3333.4375,False,0.5625,,,,,0.0,1.0353,0.9854,1.0233,1.1848,0.9949,1.0235,
4,CHA,CHA,EA,2,Y,L,,,Charlotte Sting,787,1881,456,590,187,517,342,629,971,499,697,279,497,115,2217,790,1902,477,667,138,407,386,621,1007,491,606,264,469,104,2195,18,16,34,13,4,5,12,12,12,6850,120061,Charlotte Coliseum,False,4_CHA,0.5294,22,65.2059,64.5588,0.4184,0.3617,0.7729,0.4154,0.2749,0.7647,0.2941,0.4706,-36,15,11,28,3531.2059,False,0.5625,,,,,-0.0331,0.9575,0.948,1.0014,1.0784,1.0372,0.9936,
5,CHA,CHA,EA,5,N,,,,Charlotte Sting,745,1744,436,590,166,459,256,616,872,426,648,210,479,134,2092,800,1932,438,587,130,349,368,628,996,516,595,243,437,114,2168,16,18,34,10,7,6,11,8,12,6900,116383,Charlotte Coliseum,False,5_CHA,0.4706,-76,61.5294,63.7647,0.4272,0.3617,0.739,0.4141,0.2632,0.5882,0.3529,0.2353,-124,-33,20,42,3423.0294,False,0.5294,,,,,-0.0588,0.9174,0.9507,1.0169,1.041,0.9963,0.985,
6,CHA,CHA,EA,6,N,,,,Charlotte Sting,772,1913,447,624,104,301,316,609,925,493,727,284,535,113,2095,851,1888,509,713,124,339,355,700,1055,496,654,269,534,146,2335,6,28,34,5,12,1,16,4,16,6945,98054,Charlotte Coliseum,False,6_CHA,0.1765,-240,61.6176,68.6765,0.4036,0.3455,0.7163,0.4507,0.1573,0.2941,0.0588,0.2353,-130,15,-33,1,2883.9412,False,0.4706,,,,,-0.2941,0.9158,1.0207,0.9502,1.0328,0.9665,1.0605,
7,CHA,CHA,EA,6,N,,,,Charlotte Sting,864,2178,552,777,176,544,347,747,1094,527,734,315,574,155,2456,911,2149,594,791,155,465,370,870,1240,522,707,286,619,125,2571,11,23,34,7,10,4,13,6,14,6825,106942,Time Warner Cable Arena,True,7_CHA,0.3235,-115,72.2353,75.6176,0.3967,0.3235,0.7104,0.4239,0.2498,0.4118,0.2353,0.1765,-146,29,30,-45,3145.3529,False,0.1765,,,,,0.1471,0.9602,1.0052,0.9343,0.9679,0.9497,0.9977,-805.0
7,CHI,CHI,EA,7,N,,,,Chicago Sky,858,2175,449,643,157,536,357,680,1037,509,674,277,527,125,2322,971,2147,545,736,200,536,379,860,1239,623,584,262,535,120,2687,5,29,34,3,14,2,15,4,16,6800,57635,UIC Pavilion,False,7_CHI,0.1471,-365,68.2941,79.0294,0.3945,0.2929,0.6983,0.4523,0.2464,0.1765,0.1176,0.0588,-202,15,5,-8,1695.1471,False,,,,,,,0.9078,1.0505,0.9291,0.8763,0.9335,1.0644,-2555.0
