bioID,pos,firstseason,lastseason,height,weight,college,collegeOther,birthDate,deathDate
abrahta01w,C,,,74.0,190.0,George Washington,Unknown,1975-09-27,
abrossv01w,F,,,74.0,169.0,Connecticut,Unknown,1980-07-09,
adairje01w,C,,,76.0,197.0,George Washington,Unknown,1986-12-19,
adamsda01w,F-C,,,73.0,239.0,Texas A&M,Jefferson College (JC),1989-02-19,
adamsjo01w,C,,,75.0,180.0,New Mexico,Unknown,1981-05-24,
adamsmi01w,Unknown,,,,,Unknown,Unknown,,
adubari99w,Unknown,,,,,Unknown,Unknown,,
aglerbr99w,Unknown,,,,,Unknown,Unknown,,
aguilel01w,G,,,67.0,165.0,George Washington,Unknown,1976-10-15,
ajavoma01w,G,,,68.0,160.0,Rutgers,Unknown,1986-05-07,
alberma01w,G,,,64.0,,Ohio State,Unknown,1975-04-12,
aldrima01w,G,,,71.0,153.0,UNC Charlotte,Unknown,1973-09-15,
alexaer01w,G,,,67.0,140.0,California-Santa Barbara,Unknown,1975-04-25,
alhalta01w,F-G,,,72.0,149.0,DePaul,Unknown,1974-10-17,
allench01w,G,,,71.0,135.0,Notre Dame,Unknown,1986-07-23,
allenso99w,Unknown,,,,,Unknown,Unknown,,
amachma01w,F,,,73.0,175.0,Unknown,Unknown,1978-01-30,
ambermo01w,F,,,76.0,169.0,Arizona State,Unknown,1970-12-21,
anderam01w,F,,,72.0,167.0,Brigham Young,Unknown,1984-03-14,
anderch01w,C,,,78.0,190.0,Vanderbilt,Unknown,1981-01-22,
anderjo01w,G,,,68.0,166.0,Wisconsin,Unknown,1986-07-22,
anderke01w,G,,,67.0,125.0,Wisconsin,Unknown,1974-05-17,
andrame01w,F,,,71.0,165.0,Old Dominion,Unknown,1975-12-31,
angelyv01w,G,,,68.0,160.0,Ohio State,Unknown,1963-10-14,
anosini01w,C,,,75.0,211.0,Tennessee,Unknown,1986-02-27,
appelja01w,C,,,76.0,210.0,Stanford,Unknown,1988-05-14,
arcaija01w,G,,,71.0,147.0,none,Unknown,1969-04-11,
artiska01w,F,,,73.0,155.0,Northeastern,Unknown,1973-07-09,
askamma01w,C,,,77.0,198.0,none,Unknown,1970-08-07,
atkinla01w,G-F,,,72.0,172.0,North Carolina,Unknown,1984-03-22,
atunrmo01w,G-F,,,70.0,143.0,Texas A&M,Unknown,1986-04-14,
augusse01w,F,,,72.0,179.0,Louisiana State,Unknown,1984-04-30,
aycocan01w,G-F,,,74.0,172.0,Kansas,Unknown,1973-02-28,
ayimmi01w,F,,,75.0,,Pepperdine,Unknown,1988-05-06,
azizle01w,F,,,75.0,177.0,Syracuse,Unknown,1979-02-28,
azzije01w,G,,,68.0,143.0,Stanford,Unknown,1968-08-31,
badertr01w,G,,,64.0,125.0,Boise State,Unknown,1973-02-26,
bakerla01w,G,,,67.0,140.0,California,Unknown,1968-12-18,
bakersh01w,G,,,68.0,125.0,Georgia,Unknown,1982-12-03,
balesal01w,C,,,79.0,218.0,Duke,Unknown,1985-04-04,
banchrh01w,C,,,75.0,185.0,Washington,Unknown,1973-05-01,
baranel01w,F,,,77.0,182.0,Academy of Sport Moscow,Unknown,1972-01-28,
barksla01w,G,,,70.0,156.0,North Carolina,Unknown,1979-10-03,
barnead01w,F,,,71.0,165.0,Arizona,Unknown,1977-02-03,
barnequ01w,C,,,77.0,185.0,Indiana,Unknown,1976-09-26,
bassmi01w,F,,,75.0,184.0,Duke,Unknown,1983-12-02,
batkosu01w,C,,,76.0,203.0,Unknown,Unknown,1980-12-17,
batteja01w,F,,,73.0,163.0,Notre Dame,Unknown,1983-03-26,
battlas01w,F,,,72.0,170.0,Connecticut,Unknown,1982-05-31,
bauerca01w,F-C,,,76.0,180.0,Montana State,Unknown,1972-06-27,
beardal01w,G-F,,,71.0,160.0,Duke,Unknown,1982-05-14,
becenry01w,G,,,66.0,140.0,Arizona State,Scottsdale CC (JC),1971-08-11,
beckan99wc,Unknown,,,,,Unknown,Unknown,,
beckki01w,G,,,68.0,125.0,George Washington,Unknown,1985-12-27,
bellje01w,F,,,73.0,160.0,Florida International,Unknown,1970-05-26,
bennije01w,F,,,75.0,185.0,Vanderbilt,Unknown,1981-10-06,
berezva01w,C,,,76.0,,Rice,Unknown,1986-04-10,
berggas01w,G,,,70.0,170.0,Illinois,Unknown,1976-11-18,
berrysh01w,F-C,,,75.0,175.0,Iowa,Unknown,1967-07-06,
berthlu01w,F-C,,,74.0,188.0,Old Dominion,Unknown,1978-03-31,
