year,tmID,name,season_win_pct,won,lost,GP,o_pts,d_pts,point_diff,home_win_pct,away_win_pct,prev_season_win_pct_1,prev_season_win_pct_3,prev_season_win_pct_5,prev_point_diff_3,prev_point_diff_5,prev_wins_1,win_pct_change_from_prev
9,ATL,Atlanta Dream,0.11764705882352941,4,30,34,2534,2879,-345,0.058823529411764705,0.17647058823529413,,,,,,,
10,ATL,Atlanta Dream,0.5294117647058824,18,16,34,2861,2797,64,0.7058823529411765,0.35294117647058826,0.11764705882352941,0.11764705882352941,0.11764705882352941,-345.0,-345.0,4.0,0.4117647058823529
1,CHA,Charlotte Sting,0.25,8,24,32,2186,2429,-243,0.3125,0.1875,,,,,,,
2,CHA,Charlotte Sting,0.5625,18,14,32,2055,2009,46,0.6875,0.4375,0.25,0.25,0.25,-243.0,-243.0,8.0,0.3125
3,CHA,Charlotte Sting,0.5625,18,14,32,2241,2133,108,0.6875,0.4375,0.5625,0.40625,0.40625,-98.5,-98.5,18.0,0.0
4,CHA,Charlotte Sting,0.5294117647058824,18,16,34,2217,2195,22,0.7647058823529411,0.29411764705882354,0.5625,0.4583333333333333,0.4583333333333333,-29.666666666666668,-29.666666666666668,18.0,-0.03308823529411764
5,CHA,Charlotte Sting,0.47058823529411764,16,18,34,2092,2168,-76,0.5882352941176471,0.35294117647058826,0.5294117647058824,0.551470588235294,0.47610294117647056,58.666666666666664,-16.75,18.0,-0.05882352941176472
6,CHA,Charlotte Sting,0.17647058823529413,6,28,34,2095,2335,-240,0.29411764705882354,0.058823529411764705,0.47058823529411764,0.5208333333333334,0.475,18.0,-28.6,16.0,-0.2941176470588235
7,CHA,Charlotte Sting,0.3235294117647059,11,23,34,2456,2571,-115,0.4117647058823529,0.23529411764705882,0.17647058823529413,0.39215686274509803,0.4602941176470588,-98.0,-28.0,6.0,0.14705882352941177
7,CHI,Chicago Sky,0.14705882352941177,5,29,34,2322,2687,-365,0.17647058823529413,0.11764705882352941,,,,,,,
8,CHI,Chicago Sky,0.4117647058823529,14,20,34,2525,2611,-86,0.35294117647058826,0.47058823529411764,0.14705882352941177,0.14705882352941177,0.14705882352941177,-365.0,-365.0,5.0,0.2647058823529411
9,CHI,Chicago Sky,0.35294117647058826,12,22,34,2472,2510,-38,0.47058823529411764,0.23529411764705882,0.4117647058823529,0.27941176470588236,0.27941176470588236,-225.5,-225.5,14.0,-0.05882352941176466
10,CHI,Chicago Sky,0.47058823529411764,16,18,34,2573,2693,-120,0.7058823529411765,0.23529411764705882,0.35294117647058826,0.303921568627451,0.303921568627451,-163.0,-163.0,12.0,0.11764705882352938
