year,tmID,name,season_win_pct,won,lost,GP,o_pts,d_pts,point_diff,home_win_pct,away_win_pct,prev_season_win_pct_1,prev_season_win_pct_3,prev_season_win_pct_5,prev_point_diff_3,prev_point_diff_5,prev_wins_1,win_pct_change_from_prev
9,ATL,Atlanta Dream,0.12,4,30,34,2534,2879,-345,0.06,0.18,,,,,,,
10,ATL,Atlanta Dream,0.53,18,16,34,2861,2797,64,0.71,0.35,0.12,0.12,0.12,-345.0,-345.0,4.0,0.41
1,CHA,Charlotte Sting,0.25,8,24,32,2186,2429,-243,0.31,0.19,,,,,,,
2,CHA,Charlotte Sting,0.56,18,14,32,2055,2009,46,0.69,0.44,0.25,0.25,0.25,-243.0,-243.0,8.0,0.31
3,CHA,Charlotte Sting,0.56,18,14,32,2241,2133,108,0.69,0.44,0.56,0.4,0.4,-98.5,-98.5,18.0,0.0
4,CHA,Charlotte Sting,0.53,18,16,34,2217,2195,22,0.76,0.29,0.56,0.46,0.46,-29.67,-29.67,18.0,-0.03
5,CHA,Charlotte Sting,0.47,16,18,34,2092,2168,-76,0.59,0.35,0.53,0.55,0.48,58.67,-16.75,18.0,-0.06
6,CHA,Charlotte Sting,0.18,6,28,34,2095,2335,-240,0.29,0.06,0.47,0.52,0.47,18.0,-28.6,16.0,-0.29
7,CHA,Charlotte Sting,0.32,11,23,34,2456,2571,-115,0.41,0.24,0.18,0.39,0.46,-98.0,-28.0,6.0,0.14
7,CHI,Chicago Sky,0.15,5,29,34,2322,2687,-365,0.18,0.12,,,,,,,
8,CHI,Chicago Sky,0.41,14,20,34,2525,2611,-86,0.35,0.47,0.15,0.15,0.15,-365.0,-365.0,5.0,0.26
9,CHI,Chicago Sky,0.35,12,22,34,2472,2510,-38,0.47,0.24,0.41,0.28,0.28,-225.5,-225.5,14.0,-0.06
10,CHI,Chicago Sky,0.47,16,18,34,2573,2693,-120,0.71,0.24,0.35,0.3,0.3,-163.0,-163.0,12.0,0.12
1,CLE,Cleveland Rockers,0.53,17,15,32,2185,2122,63,0.81,0.25,,,,,,,
2,CLE,Cleveland Rockers,0.69,22,10,32,2004,1788,216,0.88,0.5,0.53,0.53,0.53,63.0,63.0,17.0,0.16
3,CLE,Cleveland Rockers,0.31,10,22,32,2071,2140,-69,0.25,0.38,0.69,0.61,0.61,139.5,139.5,22.0,-0.38
4,CLE,Cleveland Rockers,0.5,17,17,34,2229,2210,19,0.65,0.35,0.31,0.51,0.51,70.0,70.0,10.0,0.19
4,CON,Connecticut Sun,0.53,18,16,34,2384,2409,-25,0.59,0.47,,,,,,,
5,CON,Connecticut Sun,0.53,18,16,34,2335,2304,31,0.59,0.47,0.53,0.53,0.53,-25.0,-25.0,18.0,0.0
6,CON,Connecticut Sun,0.76,26,8,34,2474,2244,230,0.82,0.71,0.53,0.53,0.53,3.0,3.0,18.0,0.23
