bioID,year,tmID,minutes,points,per36,z
torrele01w,2,MIA,8,0,-4.199999999999999,-4.031379538354458
tilliic01w,8,LAS,8,0,-6.299999999999999,-3.836609930183619
willili01w,10,SAC,5,0,-2.0999999999999996,-3.6599484891932437
ngoyibe01w,3,NYL,12,6,35.7,3.552476497320812
chambco01w,8,CON,1,0,-4.199999999999999,-3.5011284408448318
brungje01w,7,CON,7,0,-2.0999999999999996,-3.433431725822677
choneka01w,7,SEA,16,0,-1.575,-3.344100260542583
whittje01w,2,WAS,20,0,-0.3599999999999995,-3.2709118824302337
leslili01w,2,LAS,1033,606,32.16999031945789,3.1712770460791018
willibe01w,1,IND,3,0,0.0,-3.1610844573541694
francde01w,1,NYL,2,0,0.0,-3.1610844573541694
holdsch01w,3,WAS,634,397,33.53564668769716,3.157086417480971
thomast01w,5,DET,1,0,0.0,-3.106275682731563
jacksla01w,8,SEA,1020,739,37.07999999999999,3.0934791210147474
jacksla01w,7,SEA,848,585,35.72830188679245,3.0032494867580994
jacksla01w,4,SEA,1109,698,33.44851217312895,2.977913517310256
ambermo01w,3,SAC,4,0,0.0,-2.969298746141493
gaithka01w,3,WAS,1,0,0.0,-2.969298746141493
leslili01w,7,LAS,1043,680,35.31313518696069,2.9326067255552957
grubigo01w,5,HOU,24,2,0.9000000000000008,-2.932268626300319
