decay,k,r2,n
0.4,1,0.4764732280541494,954
0.4,2,0.48522079121705985,954
0.4,3,0.4898502128025687,954
0.4,4,0.4895258736658923,954
0.4,5,0.4895022755416082,954
0.45,1,0.4751924455443046,954
0.45,2,0.4836013302884591,954
0.45,3,0.48833726255834686,954
0.45,4,0.48773993321320175,954
0.45,5,0.48764828643659297,954
0.5,1,0.47380329735240934,954
0.5,2,0.4817019335140833,954
0.5,3,0.4864507678427391,954
0.5,4,0.4854900957359276,954
0.5,5,0.48528395643640754,954
0.55,1,0.47233454869521163,954
0.55,2,0.47959109597599636,954
0.55,3,0.4842787585239875,954
0.55,4,0.4828611877250125,954
0.55,5,0.4824824022008293,954
0.6,1,0.4708085072845346,954
0.6,2,0.47732155860495684,954
0.6,3,0.4818881594847271,954
0.6,4,0.47992012368019654,954
0.6,5,0.4792994957883935,954
0.65,1,0.46924264347798195,954
0.65,2,0.47493451516721463,954
0.65,3,0.4793308976224797,954
0.65,4,0.4767215595213442,954
0.65,5,0.4757804529234514,954
0.7,1,0.46765073289050973,954
0.7,2,0.47246258069321967,954
0.7,3,0.4766480893777031,954
0.7,4,0.47331176781289563,954
0.7,5,0.4719650224163341,954
0.75,1,0.46604368855879785,954
0.75,2,0.46993187712177276,954
0.75,3,0.4738728701147401,954
0.75,4,0.469731238265352,954
0.75,5,0.46789133548147377,954
0.8,1,0.46443018113260637,954
0.8,2,0.46736351224398553,954
0.8,3,0.47103231462747186,954
0.8,4,0.46601631836486757,954
0.8,5,0.46359823442006465,954
0.85,1,0.46281710915802265,954
0.85,2,0.4647746469063968,954
0.85,3,0.46814876234448666,954
0.85,4,0.4622001188503774,954
0.85,5,0.4591260525662454,954
0.9,1,0.4612099605639064,954
0.9,2,0.4621792822276666,954
0.9,3,0.4652407554841612,954
0.9,4,0.4583128906550199,954
0.9,5,0.454516121875142,954
