feature,importance
learned_team_strength,0.3744353662400883
win_pct_season,0.27510376138356174
avg_x_win,0.2585136034300781
career_win_pct_to_date,0.01999180265319393
p90_player_perf,0.015120815488233857
std_player_perf,0.010482386888692055
avg_minutes,0.01008130595064929
total_player_perf_log,0.006587685648458143
team_strength,0.005717696295739802
avg_player_perf,0.005547310269871002
total_player_perf,0.004369484919971766
median_player_perf,0.003968031635375659
perf_per_player,0.0035749277150180837
avg_x_rookies,0.003223328242572735
player_count,0.002616458978722246
rookie_count,0.0006660342597732717
